-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2013 through 12/31/2019 
Location: Latitude  27.6667   Longitude 85.35 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1653.16 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
27.66671,85.35001,2013,02,03,    0.00,    4.24,   48.35,   84.17,   11.83,    8.49,   -1.33,   -1.29,   15.88,    4.04,    9.45
27.66671,85.35001,2013,02,04,    0.05,    4.68,   49.04,   84.39,    9.50,    8.59,    0.01,    0.05,   16.48,    6.98,   10.73
27.66671,85.35001,2013,02,05,    1.06,    5.36,   49.58,   84.62,    9.52,   10.81,    2.08,    2.09,   18.55,    9.03,   12.67
27.66671,85.35001,2013,02,06,    5.86,    5.37,   49.22,   84.47,   10.96,   11.09,    1.63,    1.66,   19.81,    8.85,   12.78
27.66671,85.35001,2013,02,07,    1.38,    5.83,   61.26,   84.21,   11.45,    9.84,    2.72,    2.76,   17.53,    6.08,   10.65
27.66671,85.35001,2013,02,08,    0.00,    3.58,   39.98,   84.13,   12.96,    7.75,   -4.99,   -4.62,   17.67,    4.71,    9.74
27.66671,85.35001,2013,02,09,    0.00,    3.35,   40.07,   84.17,   16.60,    7.23,   -5.35,   -5.08,   17.61,    1.01,    8.76
27.66671,85.35001,2013,02,10,    0.00,    3.56,   38.71,   84.26,   13.05,    7.97,   -4.32,   -4.03,   17.80,    4.75,   10.16
27.66671,85.35001,2013,02,11,    0.00,    3.19,   32.04,   84.19,   13.27,    8.61,   -5.48,   -5.22,   19.52,    6.25,   11.36
27.66671,85.35001,2013,02,12,    0.00,    3.28,   30.90,   84.23,   13.63,    9.91,   -5.03,   -4.80,   20.62,    6.99,   12.35
27.66671,85.35001,2013,02,13,    0.00,    3.21,   30.14,   84.14,   12.80,   10.35,   -5.63,   -5.32,   20.27,    7.47,   12.35
27.66671,85.35001,2013,02,14,    0.00,    3.31,   33.02,   84.08,   13.01,    9.40,   -5.14,   -4.86,   19.15,    6.14,   11.42
27.66671,85.35001,2013,02,15,    0.50,    3.64,   38.44,   84.18,    8.41,    7.94,   -3.80,   -3.63,   16.01,    7.60,   10.58
27.66671,85.35001,2013,02,16,   13.90,    6.02,   71.21,   84.02,    6.45,    8.15,    3.21,    3.22,   13.10,    6.65,    8.86
27.66671,85.35001,2013,02,17,   16.30,    6.61,   84.70,   83.85,    8.08,    7.49,    4.39,    4.39,   12.39,    4.31,    7.64
27.66671,85.35001,2013,02,18,    2.66,    5.27,   72.24,   83.86,   14.42,    6.08,    0.68,    0.71,   14.13,   -0.29,    6.68
27.66671,85.35001,2013,02,19,    0.46,    5.27,   67.09,   84.06,   14.00,    7.07,    0.73,    0.77,   15.07,    1.07,    7.78
27.66671,85.35001,2013,02,20,    0.24,    5.34,   60.97,   84.13,   10.97,    8.64,    1.49,    1.52,   15.88,    4.91,    9.40
27.66671,85.35001,2013,02,21,    0.02,    4.79,   52.15,   84.20,   15.65,    8.86,   -0.16,   -0.11,   18.65,    3.00,   10.14
27.66671,85.35001,2013,02,22,    0.01,    4.46,   43.88,   84.39,   13.75,    9.76,   -1.04,   -0.95,   19.63,    5.89,   11.68
27.66671,85.35001,2013,02,23,    0.22,    4.02,   38.10,   84.43,   11.92,   10.08,   -2.58,   -2.43,   18.94,    7.02,   12.27
27.66671,85.35001,2013,02,24,    0.80,    4.39,   44.28,   84.37,   12.72,    9.84,   -1.32,   -1.24,   18.87,    6.16,   11.33
27.66671,85.35001,2013,02,25,    0.11,    4.70,   47.11,   84.34,   16.69,   10.62,   -0.54,   -0.49,   20.44,    3.75,   11.41
27.66671,85.35001,2013,02,26,    0.12,    5.34,   49.67,   84.34,   15.39,   11.41,    0.93,    1.02,   20.92,    5.54,   12.53
